Label,Average (before),Average (after),Average (%Δ),95% Line (before),95% Line (after),95% Line (%Δ),Throughput (before),Throughput (after),Throughput (%Δ),Error % (before),Error % (after),Error % (%Δ)
TOTAL,268,236,-11.94,763,762,-0.131,2.094,2.111,0.827,,,
GET / (Homepage),57,60,5.263,78,65,-16.667,0.37,0.369,-0.032,,,
GET /_next/static/chunks/main-app.js?v=1753632672877,12,15,25.0,15,17,13.333,0.37,0.37,-0.108,,,
List Products ?page=1&limit=20,266,9,-96.617,263,7,-97.338,0.367,0.37,0.82,,,
Get Product Details 68853bf7debc89ff229629cc,253,251,-0.791,254,252,-0.787,0.367,0.367,-0.071,,,
Get Current Cart,253,262,3.557,257,266,3.502,0.367,0.367,-0.011,,,
Add Item to Cart (POST /api/cart/items),778,777,-0.129,766,771,0.653,0.36,0.36,0.0,,,
Get Cart Totals,256,277,8.203,259,274,5.792,0.366,0.367,0.041,,,
